Case ID,Narrative Link.x,caseid_name,TIES,TIES Code,EUSANCT,GSDB,startmonth,startday,startyear,endmonth,endday,endyear,primarysender,targetstate,ongoingasofmonth,ongoingasofday,ongoingasofyear,sender1,sender2,sender3,sender4,sender5,institution,institutionid,targetinstitution,otherinstitution,issue1,issue2,issue3,otherissue,threat,threatid1,threatid2,threatid3,terminateaid,sanctiontypethreat,othersanctiontypethreatened,bspecif,scommit,threatenedtargetinterest,dsanctions,carrots,anticipatedtargetcosts,anticipatedtargetcostsfigureifav,tcurrency,tyearofestimate,anticipatedsendercosts,scurrency,syearofestimate,imposition,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,sanctionidentity,sanctiontype,othersanctiontype,implementationofdiplomaticsancti,carrotsduringsanction,carrotvalue,carrotcurrency,carrotyear,targetcosts,targeteconomiccostsfigure,targeteconomiccostscurrency,targeteconomiccostsyear,sendercosts,sendereconomiccostsfigure,sendereconomiccostscurrency,sendereconomiccostsyear,finaloutcome,settlementnaturesender,settlementnaturetarget,
199205002710,https://docs.google.com/document/d/1wPlmL9_IibdBrWbi96D_G-aT2xnpUDXE/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,US China Textile Dispute,1,1992050701,0,0,5,7,1992,,,,United States,China,6,10,2005,2,,,,,0,,,,8,,,,1,2,,,,10,,2,1,4,,,,,,,1,,,0,,,,,,,,0,,,,,,,,,,,,4,5,5,
1992121001,,Unverifiable,1,1992121001,0,0,12,10,1992,,,,Japan,China,,,,740,,,,,0,,,,13,,,,1,1,,,,4,,2,3,3,,,1,,,,1,,,1,12,10,1992,1,3,,,0,,,,1,,,,1,,,,,,,
199304070710,https://docs.google.com/document/d/18DWMmhISr-7-zc1UXwwlrx3lfRzicPFqMzZ-gK_bX5c/export?format=pdf,Mexico Sanctions Chinese Imports,1,1993041601,0,0,4,16,1993,,,,Mexico,China,12,17,2000,70,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,4,16,1993,5,3,,,3,,,,1,225000000,USD,1993,1,,,,9,,,
1993031501,,Unverifiable,1,1993031501,0,0,3,15,1993,,,,Germany,China,6,9,2005,255,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,2,3,,,1,,,,1,,,1,3,15,1993,6,3,,,0,,,,1,,,,1,,,,,,,
199104002710,https://docs.google.com/document/d/1YyE9WzQZlF8lPCmx1Fb7rkHCtmeCmzlpzBh9VO7HqrY/export?format=pdf,US-China Arms Proliferation to Pakistan 1991-2001,0,,1,0,8,25,1993,10,4,1994,United States,China,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199407002710,https://docs.google.com/document/d/1MdDY2sZe6VB4Bpe0m5Rkvpf2j-B1dtAE-v5R0YhS_TI/export?format=pdf,US-China Tech IP Investigation 1994,1,1994072901,0,0,7,29,1994,,,,United States,China,12,4,1997,2,,,,,0,,,,13,,,,1,5,,,,4,,2,1,,,,1,,,,1,,,1,7,29,1994,4,3,,,0,,,,1,,,,1,,,,,,,
199403002710,https://docs.google.com/document/d/1qIzUVL_ScMEn4yjnO3K_HRwQc2HIJccyGtapbbjd8fk/export?format=pdf,US China MFN 1994,1,1994030801,0,0,3,8,1994,7,29,1994,United States,China,,,,2,,,,,0,,,,8,,,,1,4,5,,,10,,,,3,,,1,3.01E+10,USD,1994,1,USD,1994,0,,,,,,,,,,,,,,,,,,,,3,2,8,
1994063001,,Unverifiable,1,1994063001,0,0,6,30,1994,2,26,1995,United States,China,,,,2,,,,,0,,,,13,,,,1,4,1,,,4,,2,3,3,,,1,3800000000,USD,1995,1,,,0,,,,,,,,,,,,,,,,,,,,5,5,5,
1994042101,,Unverifiable,1,1994042101,0,0,4,21,1994,,,,Mexico,China,,,,70,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,4,21,1994,5,3,,,0,,,,1,,,,1,,,,,,,
1994112101,,Unverifiable,1,1994112101,0,0,11,21,1994,,,,Mexico,China,,,,70,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,11,21,1994,5,3,,,0,,,,1,,,,1,,,,,,,
1994031507,,Unverifiable,1,1994031507,0,0,3,15,1994,6,31,1996,Germany,China,,,,255,,,,,1,1830,0,,13,,,,1,8,,,,4,,2,2,3,,,1,,,,1,,,0,,,,,,,,0,,,,,,,,,,,,3,3,7,
1994031505,,Unverifiable,1,1994031505,0,0,3,15,1994,10,23,2006,European Union,China,,,,1000,,,,,1,1830,0,,13,,,,0,,,,,,,,,,,,,,,,,,,1,3,15,1994,6,3,,,0,,,,1,,,,1,,,,,,,
199500740710,,Unverifiable,0,,0,0,,,1995,,,1997,Japan,China,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995112901,,Unverifiable,1,1995112901,0,0,11,29,1995,6,18,1996,United States,China,,,,2,,,,,0,,,,13,,,,1,4,5,2,,4,,2,3,3,,,1,2000000000,USD,1996,1,,,0,,,,,,,,,,,,,,,,,,,,5,5,5,
1995071101,,Unverifiable,1,1995071101,0,0,7,11,1995,,,,European Union,China,1,14,1996,1000,,,,,1,1830,0,,13,,,,0,,,,,,,,,,,,,,,,,,,1,7,11,1995,6,3,,,0,,,,1,,,,1,,,,,,,
199605002710,https://docs.google.com/document/d/1IfZ3qW_m0viZPHV5UlVTM-UWWoCjZoeF/export?format=pdf&ouid=104467973975587797882&rtpof=true&sd=true,US-China IP 1996,1,1996060601,0,0,6,6,1996,6,27,1996,United States,China,,,,2,,,,,0,,,,8,13,,,1,2,,,,10,,,,1,,,2,,,,1,,,0,,,,,,,,,,,,,,,,,,,,3,2,8,
199705002710a,https://docs.google.com/document/d/1O8ObHlV6B_kVMnGyuzSJIG83jLkQi7zsmGGVMfYKJPE/export?format=pdf,US-China MFN 1997,1,1997060405,0,0,6,4,1997,9,26,1997,United States,China,,,,2,,,,,0,,,,13,,,,1,1,,,,4,,2,2,3,,,1,,,,1,,,0,,,,,,,,,,,,,,,,,,,,1,,,
199705002710b,https://docs.google.com/document/d/1wcn44A-XpJqgR_1AkRiI-fPyoYGzmng6AARCRyXLT9k/export?format=pdf,US-China Iran Missile Sales 1997-2004,1,1997062801,0,0,6,28,1997,,,,Canada,China,9,25,1997,20,,,,,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,1,6,28,1997,5,3,,,0,,,,1,,,,1,,,,,,,
1997069901,,Unverifiable,1,1997069901,0,0,6,,1997,6,25,1997,United States,China,,,,2,,,,,0,,,,8,,,,1,2,,,,10,,,,1,,,2,,,,1,,,0,,,,,,,,,,,,,,,,,,,,3,2,8,
